difficulty,ILP,Hill Climbing v1,Hill Climbing v3,Offering Order
1,0,0.0,0.0,0.0
2,0,0.0,0.0,0.0
3,0,0.0,0.0,0.0
4,0,0.0,0.0,0.0
5,0,0.0,0.0,0.0
6,0,0.0,0.0,0.0
7,0,0.0,0.0,0.0
8,0,0.0,0.0,0.0
9,0,0.0,0.0,0.0
10,0,0.0,0.0,0.0
11,0,0.0,0.0,0.0
12,0,0.0,nan,0.0
13,0,nan,nan,0.0
14,0,nan,nan,0.0
15,0,nan,nan,nan
