difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,0.12014850333333016,0.01576772854478478,0.326576704159379,0.05002135853906377,1.7457798413187264,0.2262783448326948,0.9147897049039603,0.1201123810815476,nan,nan
2,0.32850876823067665,0.04966454799234646,0.3631439428776503,0.03917048016322718,0.19419803149998188,0.028201116197612258,0.1168355955928564,0.010104232128270189,0.11990775026381016,0.016736715089854273
3,0.6046894489228726,0.05568982099490218,0.8713417103886605,0.06377676567865574,0.45209098525345326,0.05200811177525935,0.2598243273049593,0.02627288664865803,0.12276727981865405,0.015456866797881044
4,0.5103856973350048,0.058721650254643695,0.8580167038738727,0.06466597826181546,0.6399525863677263,0.07021204354655963,0.35427243426442145,0.04041695204005619,0.12384372897446155,0.014839022660353642
5,0.511934555247426,0.05436192805123395,0.9412496178597212,0.07097812281766143,0.7802176080644131,0.11633172732574489,0.44930672630667684,0.05589253579371539,0.12350257009267807,0.013949214084122738
6,0.5289857203513384,0.05031470183807141,0.8733161928504706,0.06376287165553093,0.9732525403052569,0.13168744206714678,0.5376536130905152,0.07003070382974602,0.12128854095935822,0.016117564392803804
7,0.5203324406594038,0.04908093128988806,0.8598341028392315,0.06151950740050969,1.149954396262765,0.15161153173158004,0.6336358883231878,0.07941506154488578,0.1265641890466213,0.013591108887273533
8,0.5238783206790686,0.0549333510568391,0.8565455090999603,0.06587390588254308,1.288860138580203,0.16261239333072705,0.6882901967316866,0.10190536210138146,0.12357548467814922,0.014881560320609432
9,0.5388749947398901,0.057350363813584083,0.9318349113315344,0.07547308223991016,1.3822171417623759,0.18638074195380766,0.7721039734035731,0.09536882241685161,0.12457559637725353,0.014051458932667073
10,0.6914038144052028,0.05020442116681727,0.9393608671426773,0.06722038393252937,1.4810132493823767,0.20277665201275838,0.8132171815633774,0.10728266443238905,0.1219253522157669,0.014421676555857042
11,0.706199456229806,0.05545576301438969,0.9338309868425131,0.05573959454976621,1.5545546472072602,0.1958085633924809,0.8561790640652179,0.10113611280346839,0.12404100485146045,0.014564268412267642
12,0.6695964429527521,0.05172738737176806,0.9311151310801506,0.06509461458363454,1.6270791674405336,0.18649969469307615,0.85515719845891,0.12115405172997523,0.1258224968612194,0.014000312744417893
13,0.7999927691370249,0.06336304649085933,0.9494513182342053,0.06193411736504448,1.6820106822252274,0.1914401650924611,0.9068882396817207,0.09578820400374034,0.12090021677315235,0.01467898112677766
14,0.6962474021315574,0.05440093050266073,0.9378894969820977,0.06661188403484428,1.6558599004149437,0.22870918878246604,0.9268725620210171,0.10123510870700739,0.11849345684051514,0.016799073586113336
15,0.8414312167465687,0.07050140340912232,0.9313720105588437,0.06530367915919784,1.7348469898849725,0.20542035830626312,0.9349614485353231,0.09731873535818539,0.1207556113600731,0.015131818091902305
16,0.8047488355636596,0.06302046291525833,0.9342398336529731,0.06012225914715615,1.7517839201539755,0.22554437927665036,0.9142238808423281,0.11416026022723351,0.11984877184033393,0.01706812560961404
17,0.5663303016126155,0.056549833472744136,0.9422367343306541,0.06919097680393514,1.820641740858555,0.16879546053681022,0.9028185338526964,0.11823272026293691,0.12287060894072056,0.015445599344954616
18,0.800276283249259,0.062445847291875634,0.9325702709704637,0.07294876506865322,1.7843260744214058,0.18855294954623164,0.9310498831421137,0.10475483137281504,0.12138099871575832,0.01613936815175232
19,1.1569046818464994,0.05775272254500047,0.9079213707894087,0.07378344885046824,1.759223521053791,0.2251481312688338,0.9436845871806144,0.08939237617528079,0.12351786024868489,0.014591759519270596
20,1.2601364564150572,0.08425531298034399,0.9023801882565021,0.07008174247764634,1.8161212704330683,0.17312313446284477,0.9086247714608908,0.11252390664084244,0.11970774814486504,0.01621429682430793
21,1.1749454628676177,0.08036561230050548,0.9280858172476292,0.06770674879250593,1.8001713944971562,0.18287196139403825,0.9176588908582926,0.11325157918879725,0.1262593162804842,0.013061929457461778
22,1.6609212354570628,0.10657247331775566,0.9211108067631721,0.06390361422070698,1.813092330098152,0.17031696517252104,0.9018386092036963,0.11489765558761332,0.12350557319819927,0.01740258293208416
