difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,697528.8260869565,458799.71590233064,720883.4444444445,496537.2661645644,9012.583333333334,3215.188117169488,8141.125,2262.7665391538485,4914.25,1315.03925796913
2,787256.8709677419,383858.3067718905,753453.2258064516,438151.3482456117,9771.961538461539,2838.8613559773466,8496.923076923076,1942.117678443579,5354.285714285715,1110.8817390232132
3,784843.9375,434869.32994724996,763497.5806451613,462888.3561384807,10208.714285714286,2554.24421389218,8817.96,1528.6665616368623,5249.0,1020.3564736567968
4,796356.1851851852,408094.8640844182,749517.8928571428,432367.07651470986,10415.787234042553,2225.1911880357043,9012.296296296296,1520.8540317055367,5161.0,1088.1909758861264
5,737483.3125,418874.3673181223,804423.4827586206,394909.18321129953,10783.603448275862,2248.9321671894595,8725.6875,1510.774559675033,5232.571428571428,1012.8834841090817
6,765728.5714285715,415665.4404277937,753051.9142857143,428588.34880710224,11048.6125,2053.4921135960726,8839.404761904761,1342.4631177115427,5649.333333333333,1294.7442475897187
7,748565.1333333333,416328.69941236987,771622.724137931,435158.5030449001,11149.833333333334,2018.7245013521658,8879.98,1294.256976817516,5068.4,1189.968613031453
8,786746.5,414681.81332585856,775782.3928571428,393532.3925759399,11744.14423076923,1969.0798078481052,8871.120689655172,1299.964373028498,5057.4,1184.4882017141413
9,750981.0,417059.8242130558,729401.96875,393722.2371755847,11666.25,1867.610578617632,8880.481481481482,1351.1149936499442,5451.333333333333,1434.3080096920141
10,766055.3103448276,410550.34016663046,778412.724137931,422229.9017386226,11431.333333333334,1863.8063290082696,8960.6,1394.301954019663,4913.25,1314.3726957500803
11,729928.8125,432088.9637072916,766663.59375,427675.764041757,11531.85,1963.3802940315961,9030.075949367088,1425.618810958154,5070.4,1190.7496798235975
12,770865.8,367006.8226150941,737236.3396226416,396297.5237157899,12152.12676056338,2294.0365701610426,9199.890625,1523.3535282311216,5461.111111111111,1021.4315254147539
13,742451.78125,402872.72782578535,731618.25,442568.53675640986,11594.99152542373,1951.4079181902052,9012.2,1390.5021989257664,5055.6,1181.9709387290366
14,837120.9761904762,328469.51692805625,805624.0952380953,337049.21676006913,11462.055045871559,1867.4009410728254,8950.918032786885,1576.8086683243253,15524.751101321586,4928.464024409577
15,776627.8,408800.84239752265,761309.96875,404040.3270234204,11573.943925233645,1895.8660381371374,8758.225806451614,1564.1616768909334,15367.960698689956,4962.898204163096
16,806528.6875,373341.4279168546,765200.2058823529,395883.24870519666,11528.530973451327,1891.7293867498051,8861.783333333333,1633.4274985250656,15293.556768558952,4933.498167481438
17,755331.0625,397275.86419530323,798363.7666666667,374235.6296425798,11783.236842105263,1986.340363773173,8878.269841269841,1309.5808022509218,15196.924444444445,4935.702139635773
