difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,118,118,118,118,118
2,343,343,343,343,214
3,522,522,515,515,317
4,680,680,680,680,412
5,837,837,830,830,494
6,977,977,962,962,574
7,1109,1109,1071,1071,649
8,1219,1219,1177,1177,709
9,1328,1328,1279,1279,759
10,1430,1430,1374,1374,787
11,1530,1530,1462,1462,779
12,1632,1632,1533,1533,nan
13,1720,1720,1603,1593,nan
14,1791,1791,1663,1651,nan
15,1877,1877,1721,1701,nan
16,1948,1948,1777,1729,nan
17,2006,2006,1827,nan,nan
18,2057,2057,1855,nan,nan
19,2107,2107,nan,nan,nan
20,2145,2145,nan,nan,nan
21,2165,2165,nan,nan,nan
22,2047,2047,nan,nan,nan
