difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
7,1358358.2341842398,1353415.7974270408,851926.6160990712,1012843.3328072758,6257.645,1813.8492886897193,7387.065,2658.4492004799836,nan,nan
8,1859368.6986407768,875439.7809571183,846768.1216848674,1009364.1410551902,6140.338283828383,1554.9075748630967,7757.0257142857145,2080.0794388956037,nan,nan
9,1432223.8023952097,1299370.8003949812,854177.7810559006,1012596.8268993543,5996.3,1368.7812589543103,7906.161862527716,1863.4490406436219,nan,nan
10,1426592.309,1279477.1198802316,859533.0371517028,1019183.8383357805,5916.495049504951,1283.8371053438702,7831.744565217391,1663.374385582776,nan,nan
11,1463556.6270218838,1266525.0355714748,839646.40625,1002019.8268236606,5879.486086956522,1208.2401436808443,7845.458461538462,1538.120371229795,nan,nan
12,1466368.6066666667,1270566.357480808,848647.830482115,1008644.6375671589,5870.5765391014975,1201.1764942782818,7919.364885496183,1558.0292420068927,nan,nan
13,1468609.67331434,1274367.7250838443,863594.7094281298,1020121.6777258123,5898.6858513189445,1168.2480488456442,8028.694285714286,1530.979625314772,nan,nan
14,1431325.4280039722,1285472.6770825847,865811.4938271604,1021061.3911120624,5810.0344,1184.3740474715323,7910.128388017119,1511.8598104156722,nan,nan
15,1488689.1289736603,1245700.2474068273,848222.600311042,1007517.7895078908,5807.492,1185.0466488640805,7872.019525801953,1485.1310278925803,nan,nan
16,1438749.0258449304,1306864.3359074725,849923.350931677,1010582.5070173685,5827.836930455635,1170.4677638393337,7955.473612990528,1488.2736394202839,nan,nan
17,1430844.5996015936,1286362.1178017918,867331.2194744977,1025767.1763473841,nan,nan,nan,nan,nan,nan
18,1429019.4855433698,1283972.2439971466,850680.2899224806,1012267.1182432721,nan,nan,nan,nan,nan,nan
19,1419691.3093812375,1282174.2810831314,861347.4621329212,1017899.2008743706,nan,nan,nan,nan,nan,nan
