difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,77,77,77,77,77
2,140,140,140,140,140
3,182,182,182,182,182
4,203,203,203,182,203
5,210,210,203,182,203
6,217,217,203,182,203
7,217,217,203,182,203
8,217,217,203,182,210
