difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,225,225,225.0,225.0,225.0
2,390,390,390.0,390.0,358.0
3,554,554,554.0,554.0,523.0
4,704,704,694.0,704.0,687.0
5,844,844,821.0,844.0,797.0
6,971,971,939.0,971.0,937.0
7,1088,1088,1056.0,1088.0,1032.0
8,1197,1197,1165.0,1197.0,1141.0
9,1279,1279,1268.0,1279.0,1229.0
10,1362,1362,1356.0,1339.0,1295.0
11,1450,1450,1422.0,1389.0,1355.0
12,1510,1510,1482.0,1433.0,1415.0
13,1567,1567,1532.0,nan,1485.0
14,1617,1617,1567.0,nan,nan
15,1661,1661,nan,nan,nan
16,1702,1702,nan,nan,nan
17,1688,1688,nan,nan,nan
