difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,217,217,217,217,217
2,404,404,404,404,404
3,558,558,558,558,536
4,691,691,691,691,690
5,823,823,823,823,800
6,948,948,948,948,933
7,1066,1066,1066,1058,1058
8,1176,1176,1176,1160,1160
9,1278,1278,1278,1248,1278
10,1366,1366,1366,1306,1366
11,1459,1459,1424,1350,1424
12,1547,1547,1468,1378,1468
13,1629,1629,1496,nan,1496
14,1679,1679,nan,nan,1529
15,1731,1731,nan,nan,nan
16,1781,1781,nan,nan,nan
17,1796,1796,nan,nan,nan
18,1801,1801,nan,nan,nan
