difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,187,187,187.0,187.0,187.0
2,333,333,333.0,333.0,333.0
3,466,466,466.0,466.0,458.0
4,597,597,597.0,597.0,591.0
5,724,724,724.0,724.0,722.0
6,849,849,849.0,849.0,849.0
7,966,966,966.0,966.0,966.0
8,1076,1076,1076.0,1070.0,1076.0
9,1179,1179,1158.0,1173.0,1148.0
10,1275,1275,1230.0,1255.0,1218.0
11,1349,1349,1300.0,1325.0,1300.0
12,1421,1421,1344.0,1369.0,1328.0
13,1465,1465,1372.0,1397.0,1372.0
14,1493,1493,nan,nan,1460.0
15,1497,1497,nan,nan,nan
16,1485,1485,nan,nan,nan
17,1460,1460,nan,nan,nan
