difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
2,1410326.5294117648,1499638.068122902,776848.25,984585.5284320611,15096.75,7705.906826761356,14019.0,5779.916118191797,nan,nan
3,1826550.780487805,1012421.8869548285,749962.9166666666,950431.4539841614,17248.846153846152,7113.588740950985,15639.92857142857,4841.550172354777,nan,nan
4,1757968.0294117648,1104989.4161341612,843427.4166666666,1090045.006865351,17333.82051282051,6057.07600932381,15864.190476190477,3916.175706209409,nan,nan
5,1759351.6764705882,1102193.0636589592,844009.8333333334,1090301.9775171408,18290.61224489796,5699.027288407523,16661.51851851852,3605.97597340827,nan,nan
6,1757254.4705882352,1100577.9978391859,763885.1666666666,960009.181589884,16398.64912280702,5259.86320263189,17341.65625,3523.925227222685,nan,nan
7,1760750.794117647,1106416.3351086238,761387.6666666666,960630.2935934901,16926.731343283584,4799.7972545,15314.972972972973,2907.8638731558267,nan,nan
8,1776447.3714285714,1094299.7327089268,765531.5833333334,960179.9213691396,16315.905405405405,4573.611058476328,15838.731707317073,2856.5443460971355,nan,nan
9,1833216.142857143,1000327.0413747153,768121.3333333334,959089.0512565777,16638.923076923078,4719.37316377303,16464.136363636364,3000.2577299440118,nan,nan
10,1858763.1063829786,946151.6644094837,843057.0833333334,1090371.656526047,17193.87951807229,4304.650243285092,15364.58695652174,2614.93770969862,nan,nan
11,1815971.4222222222,931348.3368340101,832908.25,1089609.6915690936,16559.162790697676,4211.42444495213,16092.4375,2618.7902185506564,nan,nan
12,1821247.731707317,1010881.0191087531,839569.8333333334,1078137.072758868,15852.292134831461,4121.520293207811,15784.591836734693,2621.7389976118216,nan,nan
13,1828255.9512195121,1014192.6616216456,842014.4166666666,1090216.6261449193,16612.91208791209,4905.495464042459,15540.372549019608,2491.4878523547677,nan,nan
14,1840661.3636363635,978373.9658703557,744592.3333333334,949232.021680142,15907.902173913044,4108.350058005781,15342.372549019608,2495.0288732660733,nan,nan
15,1883640.3461538462,899982.109653295,751308.6666666666,950507.4106390212,15336.608695652174,4194.697429674393,15257.666666666666,2475.669442124022,nan,nan
16,1922979.2033898304,855891.8437757711,754206.5833333334,945026.1855930918,nan,nan,nan,nan,nan,nan
17,1948903.8055555555,770501.0510994401,771781.8333333334,961106.4557163301,nan,nan,nan,nan,nan,nan
18,1952049.281690141,780092.9455174499,776335.4166666666,961641.756903971,nan,nan,nan,nan,nan,nan
19,1866258.3333333333,937287.823795107,741060.75,940273.5847793667,nan,nan,nan,nan,nan,nan
20,2008484.066037736,640516.1035047444,766157.9166666666,959460.4856139875,nan,nan,nan,nan,nan,nan
21,1905209.3454545455,882532.0926595923,765217.0833333334,958991.1428322103,nan,nan,nan,nan,nan,nan
22,1828143.6829268292,1012645.3460978438,752610.9166666666,951120.2367613637,nan,nan,nan,nan,nan,nan
