difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,28,28,28.0,28.0,28.0
2,253,253,253.0,253.0,78.0
3,432,432,425.0,425.0,120.0
4,590,590,590.0,590.0,164.0
5,747,747,740.0,740.0,nan
6,897,897,872.0,872.0,nan
7,1037,1037,997.0,997.0,nan
8,1168,1168,1114.0,1114.0,nan
9,1278,1278,1224.0,1224.0,nan
10,1387,1387,1326.0,1326.0,nan
11,1489,1489,1421.0,1421.0,nan
12,1598,1598,1515.0,1515.0,nan
13,1693,1693,1603.0,1603.0,nan
14,1779,1779,1674.0,1661.0,nan
15,1861,1861,1732.0,1711.0,nan
16,1923,1923,1782.0,1755.0,nan
17,1983,1983,1826.0,nan,nan
18,2033,2033,nan,nan,nan
19,2083,2083,nan,nan,nan
20,2105,2105,nan,nan,nan
21,2026,2026,nan,nan,nan
