difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,225,225,225,225,225
2,397,397,397,397,397
3,554,554,547,547,530
4,704,704,679,679,636
5,844,844,806,806,746
6,976,976,931,931,871
7,1102,1102,1048,1048,942
8,1212,1212,1158,1158,1037
9,1321,1321,1264,1264,1146
10,1427,1427,1366,1366,1248
11,1521,1521,1460,1460,1336
12,1609,1609,1548,1548,1418
13,1692,1692,1630,1630,1462
14,1774,1774,1680,1680,1522
15,1832,1832,1724,1724,1616
16,1882,1882,nan,nan,nan
17,1932,1932,nan,nan,nan
18,1982,1982,nan,nan,nan
19,2025,2025,nan,nan,nan
20,1990,1990,nan,nan,nan
21,1915,1915,nan,nan,nan
