difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,ILP GPU VRAM,ILP GPU VRAM stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,6303267.1,2009.9427877937426,3228705.68,1897.9677040756742,13731996631.04,296582.0800757861,36477.8,3566.555023365527,29374.94,2750.2938945739256,nan,nan
5,6303826.82,2188.1242986929724,3229233.76,1972.1116472927579,13734051840,0.0,36515.12,3593.467966480632,29875.36,2786.1986228038886,nan,nan
6,6303287.46,2138.897247916051,3229459.42,2082.44039618748,13734051840,0.0,35937.62,3876.6197188387973,30010.72,2933.660574943801,nan,nan
7,6303295.94,2194.0679059496692,3229848.7,2063.472091264762,13734051840,0.0,36477,3661.2324901512025,28972.72,2260.9913307111597,nan,nan
8,6302544.42,1871.427503707438,3229428.32,1985.3848590052628,13734051840,0.0,35941.88,3553.6475807490065,30165.06,3301.95406221522,nan,nan
9,6303459.48,2418.71608916797,3229661.76,1913.1766889823077,13734051840,0.0,36227.5,3821.7666405867903,29592.1,2756.0422914470846,nan,nan
10,6303497.56,2065.9584340999145,3229987.14,2161.0166920376405,13734051840,0.0,36478.16,3443.5332374686063,29011.98,2048.4486363876363,nan,nan
11,6302913.04,2135.101450153828,3229915.54,1993.0884167900974,13734051840,0.0,35945.4,3335.746797027249,29196.3,3092.5210853388385,nan,nan
12,6303290.34,2005.2025762592502,3229393.88,2072.844251609023,13734051840,0.0,36140.08,3467.2971055217035,30086.32,2808.7038730579293,nan,nan
13,6303237.8,1937.2925142358563,3229617.5,1496.2718601884608,13734051840,0.0,36592.46,3429.5115092743017,30401.7,3245.3837246785106,nan,nan
14,6303143.68,1773.58958554655,3229578.78,1797.6674602247826,13734051840,0.0,36001.68,3299.2889489978884,29423.16,2593.8555524428834,nan,nan
15,6303373.3,2193.5099749497567,3229524.04,2105.79239010024,13734051840,0.0,35771.14,3116.0601105647916,30042.32,3100.7213541236442,nan,nan
16,6303897.12,2110.7296121270965,3229433.04,2304.9139340255865,13734051840,0.0,36629.58,3929.5623326424598,nan,nan,nan,nan
17,6303724.36,2123.9871704904817,3229949.56,2043.730923620638,13738246144,0.0,nan,nan,nan,nan,nan,nan
18,6302781.38,2009.6453732244524,3229627.22,2106.227203376905,13738246144,0.0,nan,nan,nan,nan,nan,nan
19,6303175.32,2213.5174744726814,3230183.78,2247.308796797464,13738246144,0.0,nan,nan,nan,nan,nan,nan
20,6303091.02,1706.5186723806082,3229574.56,1867.5985907915358,13738162257.92,593164.1601515722,nan,nan,nan,nan,nan,nan
