difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
4,1354464.4444444445,1361180.2967115676,756402.6666666666,951940.4447436761,12059.0,6034.0034305591835,10603.666666666666,4137.901722693117,7282.0,2099.5666219484438
5,1975375.9285714286,714931.5522858129,766263.4166666666,956959.2762189716,12372.157894736842,4421.221390610894,11064.7,3215.5313039475554,7942.714285714285,2173.7991868528024
6,1633934.7692307692,1235813.2054724875,763451.8333333334,956353.4781423972,12848.307692307691,3963.737970847526,10985.0,2727.449019477019,7122.333333333333,2174.123608874773
7,1651563.5384615385,1247036.4275025243,763687.0,956233.2460175565,13045.85294117647,3623.7017581837245,11093.611111111111,2386.0343949714825,7804.714285714285,2234.0292234947538
8,1632376.576923077,1227719.9661859758,754128.8333333334,951368.2182834299,12917.756097560976,3378.551248541953,10821.095238095239,2183.6650591325106,7487.0,2020.1374540692357
9,1629270.0384615385,1236410.7958544032,762060.3333333334,955524.9739063799,15728.91304347826,3954.1808974866476,10469.72,1986.4346729756808,7352.0,2028.8544386755136
10,1604015.111111111,1162429.7358126917,763228.25,956745.4716249938,12482.16,2669.403368025239,11407.481481481482,1988.910454927722,7199.0,1965.5176587013068
11,1785842.4444444445,1076976.104623853,725860.9166666666,928371.494718913,14342.188679245282,2999.0949600004574,10385.620689655172,1840.4137037593537,7540.428571428572,2113.9114501434583
12,1614484.148148148,1161361.826910337,744144.5833333334,939616.0644118483,12006.854545454546,2524.1687918129187,11007.258064516129,1844.3756661400255,7651.333333333333,2255.9056422347694
13,1614937.8148148148,1166793.5490765688,764370.9166666666,957091.8538897316,13359.589285714286,3068.061921721835,10932.774193548386,1828.8246810392993,6925.833333333333,2040.8494718294799
14,1659455.0740740742,1221223.899548536,749199.3333333334,943635.0305437655,12761.315789473685,2818.5221948357894,10504.8125,1811.3883721271425,7001.666666666667,2075.5623495011337
15,1663367.0,1221476.918575214,749143.0833333334,948024.1872234214,12684.140350877193,2996.9555828647444,10293.46875,1777.3872630529631,7251.714285714285,1998.6678658784801
16,1669893.3703703703,1227077.8016861267,743167.5,942704.5229905382,12274.894736842105,2777.132158258964,12149.40625,1949.7534312164507,6966.833333333333,2065.1127249297233
17,1736657.5625,1132334.6118376886,768539.75,957357.0902969491,12937.421052631578,2639.6891655983745,10661.5625,1772.3742766732153,7422.166666666667,2281.343149696395
18,1721460.5806451612,1194031.1331638657,755407.0833333334,952607.9819196312,13128.491228070176,2839.816481261264,11141.84375,1790.4127494821032,6909.333333333333,2030.8640197380687
19,1654765.2592592593,1219050.045843755,730110.4166666666,931863.6784411664,13073.859649122807,2829.581508927453,10481.09375,1738.3138170109821,7315.857142857143,2025.5773192328345
20,1610597.851851852,1166217.6089959072,751074.6666666666,950470.9709841302,12550.894736842105,2790.7404271230507,10488.90625,1755.9623289253213,7275.333333333333,2067.540342210199
