difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,180,180,180.0,180.0,180.0
2,345,345,345.0,345.0,345.0
3,509,509,509.0,509.0,509.0
4,649,649,649.0,649.0,619.0
5,766,766,766.0,766.0,759.0
6,876,876,876.0,876.0,876.0
7,974,974,964.0,964.0,964.0
8,1062,1062,1046.0,1046.0,1046.0
9,1144,1144,1090.0,1121.0,1090.0
10,1219,1219,1118.0,1171.0,1118.0
11,1276,1276,nan,1199.0,1168.0
12,1326,1326,nan,nan,1233.0
13,1363,1363,nan,nan,nan
14,1395,1395,nan,nan,nan
15,1413,1413,nan,nan,nan
