difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,118,118,118.0,118.0,118.0
2,335,335,335.0,335.0,236.0
3,522,522,522.0,522.0,354.0
4,664,664,655.0,655.0,458.0
5,804,804,788.0,788.0,514.0
6,935,935,913.0,913.0,609.0
7,1064,1064,1031.0,1031.0,691.0
8,1178,1178,1140.0,1140.0,755.0
9,1284,1284,1246.0,1246.0,800.0
10,1393,1393,1349.0,1341.0,860.0
11,1502,1502,1444.0,1436.0,910.0
12,1598,1598,1532.0,1524.0,938.0
13,1693,1693,1614.0,1606.0,nan
14,1767,1767,1685.0,1676.0,nan
15,1849,1849,1729.0,1720.0,nan
16,1918,1918,nan,nan,nan
17,1974,1974,nan,nan,nan
18,2018,2018,nan,nan,nan
19,2071,2071,nan,nan,nan
20,2087,2087,nan,nan,nan
21,2123,2123,nan,nan,nan
22,2123,2123,nan,nan,nan
