difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,179262.4,62298.15565523946,101285.0,139321.24909718547,3420.5,919.9459223236984,4409.5,1322.9967876000305,2770.0,0.0
2,128597.66666666667,109242.4757424205,158775.25,105352.36980209162,5462.333333333333,2834.898646042453,5537.666666666667,2299.347806081832,2770.0,0.0
3,141191.0,120025.53316274,100882.0,138751.3210315491,4366.0,1153.0819571912484,4227.0,1136.4035374812945,3058.0,0.0
4,154298.5,102683.01809776857,100808.5,138647.37633471467,4194.8,896.4584206754935,4505.666666666667,1151.468772191992,2770.0,0.0
5,129285.0,109716.92735854391,100835.0,138684.85299411757,5839.2,1972.465386261569,4402.333333333333,1319.759195206964,2770.0,0.0
6,129589.0,110229.96267349455,100960.0,138861.6296894142,4740.0,905.1538543253296,nan,nan,2770.0,0.0
7,129541.66666666667,110189.12016316917,145246.66666666666,124653.89082308394,nan,nan,nan,nan,2770.0,0.0
8,129461.0,110119.51557739437,101196.5,138788.797690952,nan,nan,nan,nan,6791.818181818182,1449.8062503784304
