difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,165,165,165.0,165.0,165.0
2,329,329,329.0,329.0,329.0
3,479,479,462.0,479.0,439.0
4,612,612,587.0,612.0,564.0
5,737,737,712.0,737.0,689.0
6,862,862,830.0,862.0,814.0
7,980,980,940.0,980.0,932.0
8,1097,1097,1043.0,1075.0,1042.0
9,1208,1208,1138.0,1163.0,1130.0
10,1317,1317,1226.0,1245.0,1212.0
11,1405,1405,1308.0,1320.0,1256.0
12,1481,1481,1358.0,1391.0,1306.0
13,1552,1552,1402.0,1441.0,1334.0
14,1611,1611,1430.0,1469.0,1389.0
15,1661,1661,nan,nan,nan
16,1689,1689,nan,nan,nan
17,1619,1619,nan,nan,nan
