difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
7,1369030.5294117648,1469959.3343149037,880136.3846153846,1058683.625043977,8351.375,3593.4311473457074,8265.75,3656.9358188698543,nan,nan
8,2019673.2844827587,612010.8324048267,732682.8333333334,934256.3497177687,9044.923076923076,2931.5786549667077,9244.57142857143,2785.1441528906457,nan,nan
9,1546862.5416666667,1217510.1425970162,738400.1666666666,939302.9553536769,9181.764705882353,2700.152207038794,8550.888888888889,2273.283332783468,nan,nan
10,1572464.347826087,1307089.5620836953,740759.75,942729.8437063337,9478.894736842105,2607.44730200795,8960.545454545454,2121.4632857363504,nan,nan
11,1548719.1666666667,1222211.6972580866,757844.0833333334,953772.8806392067,9287.681818181818,2285.7234425547103,8509.5,1985.9288873105565,nan,nan
12,1537644.375,1222513.5951937505,742798.0833333334,941130.0169775074,12049.375,2559.552420324949,8778.384615384615,1985.2887505541664,nan,nan
13,1547528.4166666667,1221869.270969971,729687.4166666666,931461.917452683,8748.12,2129.2002277850715,9783.214285714286,2079.1478349988056,nan,nan
14,1549468.75,1220258.629200286,733035.4166666666,932227.0923533267,9380.23076923077,2221.7830372507988,8993.933333333332,1927.0240367196352,nan,nan
15,1548375.375,1215303.1562487076,741923.0,943245.1705297178,9343.518518518518,2107.6036952383474,9970.3125,1996.5865777621566,nan,nan
16,1562924.76,1200762.1886988864,738794.75,939754.2285497382,14176.384615384615,4404.407120845421,8926.733333333334,1900.51652628086,nan,nan
17,1569550.96,1202026.072963737,746329.6666666666,943108.0643194736,nan,nan,nan,nan,nan,nan
18,1644953.5172413792,1127779.3651982523,742828.5833333334,944274.9120255237,nan,nan,nan,nan,nan,nan
19,1567598.08,1200131.2406252327,731294.8333333334,931888.6385608952,nan,nan,nan,nan,nan,nan
