difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,217,217,217,217,217.0
2,373,373,373,373,310.0
3,505,505,505,505,466.0
4,630,630,630,630,598.0
5,756,756,755,755,723.0
6,888,888,865,865,818.0
7,1001,1001,960,960,927.0
8,1110,1110,1042,1055,1029.0
9,1212,1212,1112,1137,1117.0
10,1306,1306,1176,1207,1187.0
11,1394,1394,1220,1271,1269.0
12,1465,1465,1248,1315,1304.0
13,1540,1540,1248,1343,1364.0
14,1601,1601,1248,1343,1392.0
15,1653,1653,1248,1343,1486.0
16,1690,1690,1248,1343,nan
17,1718,1718,1248,1343,nan
18,1718,1718,1248,1343,nan
