difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,866615.6194690266,157526.18489342372,422320.3333333333,452896.166732582,5971.25,2399.8201842360327,6462.666666666667,3144.5714069382066,4588.0,1584.5769151417044
2,682866.0,458713.7207143867,316796.2,408706.645618468,7509.444444444444,2231.550308144044,7928.666666666667,2573.5919386465807,4916.0,1877.5718361756494
3,650697.2727272727,469742.4910384605,338498.5,415440.19147778663,7510.307692307692,1782.1244992337743,7029.875,1845.208268345725,5877.333333333333,3035.26874153399
4,654648.6363636364,469728.28843774623,321056.6,412532.0735273804,7461.176470588235,1588.8247321249014,7413.090909090909,1561.3946621239265,4885.666666666667,1937.0199620379067
5,681358.5833333334,457886.8637519849,434780.3333333333,470207.5452655632,7647.333333333333,1456.7483768082027,7584.384615384615,1518.4616962824327,4832.666666666667,1899.8827156783477
6,656239.7272727273,471909.21777966805,318626.8,410206.5763511112,8369.384615384615,1523.8222751206408,7391.866666666667,1435.1475716388725,4978.0,2023.8619024034224
7,682217.75,458881.7840932109,451775.0,488863.3813097479,8098.0,1454.180937847832,7674.166666666667,1352.4928291644198,5511.333333333333,2009.9289373839397
8,681253.9166666666,458386.2064094501,447316.8333333333,487318.9542356901,7353.142857142857,1214.9161951939475,7092.45,1189.0130571192228,5365.333333333333,2365.996055223536
9,657321.5,438376.60416680336,452174.8333333333,488447.3618618148,7863.025,1221.3306842885,6960.0,1156.6749327274279,4928.0,2048.9809662366315
10,673345.3333333334,451377.874445737,316229.4,408460.58058312064,8512.931818181818,1290.0317536695316,7098.5,1141.723582175317,4881.333333333333,1930.4034120704753
11,665006.9166666666,446091.8085197788,314686.6,407064.1215162545,7861.45652173913,1075.2561597957688,6914.695652173913,1111.1767077694385,4995.333333333333,2001.1502525630935
12,657152.3333333334,439111.09721248393,452507.5,488898.5986646924,8488.829787234043,1174.6695616612494,6655.583333333333,1020.150070659541,5609.666666666667,2558.143923498702
13,694668.9230769231,442459.5812565749,449233.5,486953.69382837624,11543.708333333334,1819.282345746833,6669.958333333333,1015.960606869255,5386.666666666667,2680.10621680062
14,689968.3846153846,437059.1298218008,317817.8,408981.67663869733,7364.958333333333,991.6795973291299,7102.0,1090.9521170698238,10698.34965034965,1790.1283228011748
15,691585.5384615385,437693.47761582636,320059.8,411688.5399275768,nan,nan,nan,nan,nan,nan
16,693040.2307692308,440022.4677951407,319146.8,410900.4589808826,nan,nan,nan,nan,nan,nan
17,731063.625,402608.1140278348,319200.2,410495.04222609074,nan,nan,nan,nan,nan,nan
