difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,nan,nan,nan,nan,nan
2,nan,nan,nan,nan,nan
3,nan,nan,nan,nan,nan
4,nan,nan,nan,nan,nan
5,nan,nan,nan,nan,nan
6,nan,nan,nan,nan,nan
7,310,310,310,310,nan
8,482,482,482,482,nan
9,647,647,647,647,nan
10,796,796,757,757,nan
11,936,936,866,866,nan
12,1053,1053,969,969,nan
13,1163,1163,1072,1072,nan
14,1266,1266,1168,1168,nan
15,1361,1361,1168,1168,nan
16,1433,1433,nan,nan,nan
17,1490,1490,nan,nan,nan
18,1490,1490,nan,nan,nan
19,1442,1442,nan,nan,nan
