difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,187,187,187,187,187
2,359,359,359,359,359
3,524,524,524,524,524
4,681,681,678,678,678
5,821,821,811,811,788
6,954,954,929,929,891
7,1079,1079,1039,1039,1024
8,1197,1197,1148,1148,1133
9,1307,1307,1250,1251,1251
10,1409,1409,1332,1333,1251
11,1511,1511,1367,1368,1333
12,1606,1606,1395,1396,1368
13,1696,1696,1395,1396,1396
14,1782,1782,nan,nan,1483
15,1864,1864,nan,nan,nan
16,1908,1908,nan,nan,nan
17,1936,1936,nan,nan,nan
18,1975,1975,nan,nan,nan
19,1975,1975,nan,nan,nan
20,1916,1916,nan,nan,nan
21,1898,1898,nan,nan,nan
