difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,225,225,225,225,225
2,404,404,390,390,358
3,558,558,555,555,523
4,719,719,688,719,688
5,869,869,821,850,821
6,1000,1000,952,977,931
7,1123,1123,1069,1087,1058
8,1233,1233,1179,1196,1167
9,1343,1343,1289,1302,1277
10,1452,1452,1384,1373,1335
11,1547,1547,1478,1423,1371
12,1613,1613,1553,1465,1385
13,1677,1677,1595,1501,1413
14,1759,1759,nan,nan,1507
15,1833,1833,nan,nan,nan
16,1876,1876,nan,nan,nan
17,1858,1858,nan,nan,nan
18,1864,1864,nan,nan,nan
19,1864,1864,nan,nan,nan
20,1680,1680,nan,nan,nan
