difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
5,302,302,302.0,302.0,nan
6,474,474,474.0,474.0,nan
7,639,639,639.0,639.0,nan
8,771,771,771.0,771.0,nan
9,884,884,880.0,880.0,nan
10,993,993,983.0,982.0,nan
11,1090,1090,1085.0,1078.0,nan
12,1192,1192,1181.0,1149.0,nan
13,1285,1285,1252.0,1209.0,nan
14,1373,1373,1312.0,1267.0,nan
15,1455,1455,1370.0,1317.0,nan
16,1524,1524,1420.0,1317.0,nan
17,1584,1584,1420.0,nan,nan
18,1593,1593,nan,nan,nan
19,1643,1643,nan,nan,nan
20,1643,1643,nan,nan,nan
