difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,0.09775087237358093,0,0.03645600192248821,0,0.023998552933335304,0.0,0.018185975030064583,0.0,0.010873651131987572,0
2,0.032155927270650864,0,0.10816985554993153,0,0.044312385842204094,0.0,0.03295455127954483,0.0,0.01152908243238926,0
3,0.030949126929044724,0,0.060565268620848656,0,0.05787446349859238,0.0,0.03948838263750076,0.0,0.00928228534758091,0
4,0.032091088593006134,0,0.06047297641634941,0,0.0624928493052721,0.0,0.04186231270432472,0.0,0.006634049117565155,0
5,0.031243963167071342,0,0.06033928506076336,0,0.06605623103678226,0.0,0.04279428720474243,0.0,0.006843825802206993,0
6,0.03181817568838596,0,0.06007636711001396,0,0.06781579740345478,0.0,nan,nan,0.006227223202586174,0
7,0.03124641254544258,0,0.060496656224131584,0,nan,nan,nan,nan,0.009877344593405724,0
8,0.03108051046729088,0,0.03305934742093086,0,nan,nan,nan,nan,0.16677597910165787,0
