difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,187,187,187,187,187.0
2,359,359,359,352,320.0
3,524,524,524,517,485.0
4,681,681,657,650,650.0
5,821,821,784,783,760.0
6,954,954,909,901,831.0
7,1071,1071,1018,1018,956.0
8,1191,1191,1121,1128,1074.0
9,1294,1294,1217,1230,1074.0
10,1396,1396,1299,1325,1169.0
11,1467,1467,1349,1407,1251.0
12,1535,1535,1370,1451,1295.0
13,1596,1596,1370,1479,1323.0
14,1656,1656,1370,1479,1418.0
15,1687,1687,1370,1479,nan
16,1722,1722,1370,1479,nan
17,1753,1753,1370,1479,nan
18,1781,1781,1370,1479,nan
19,1781,1781,1370,1479,nan
