difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,165,165,165.0,165.0,165.0
2,314,314,305.0,305.0,275.0
3,454,454,432.0,437.0,415.0
4,586,586,557.0,564.0,540.0
5,706,706,682.0,682.0,667.0
6,822,822,800.0,799.0,792.0
7,934,934,903.0,909.0,886.0
8,1036,1036,1005.0,1013.0,988.0
9,1129,1129,1093.0,1115.0,1092.0
10,1218,1218,1175.0,1209.0,1150.0
11,1300,1300,1219.0,1267.0,1194.0
12,1370,1370,1261.0,1323.0,1250.0
13,1423,1423,nan,1367.0,1314.0
14,1465,1465,nan,nan,nan
15,1481,1481,nan,nan,nan
