difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,165,165,165,165,165
2,330,330,330,330,330
3,470,470,470,470,470
4,603,603,595,603,541
5,728,728,713,728,666
6,846,846,816,838,760
7,949,949,887,941,878
8,1043,1043,932,1011,920
9,1129,1129,974,1053,965
10,1173,1173,974,1081,965
11,1194,1194,nan,1081,1074
12,1194,1194,nan,nan,nan
