difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,217,217,217,217,217
2,404,404,404,404,404
3,558,558,558,558,460
4,691,691,691,691,593
5,817,817,816,816,747
6,942,942,941,925,850
7,1063,1063,1059,1027,975
8,1178,1178,1162,1122,1084
9,1287,1287,1264,1204,1186
10,1390,1390,1352,1279,1274
11,1492,1492,1434,1349,1356
12,1580,1580,1509,1405,1431
13,1662,1662,1537,1433,1459
14,1725,1725,nan,nan,1473
15,1787,1787,nan,nan,1559
16,1847,1847,nan,nan,nan
17,1891,1891,nan,nan,nan
18,1921,1921,nan,nan,nan
19,1949,1949,nan,nan,nan
20,1944,1944,nan,nan,nan
21,1944,1944,nan,nan,nan
