difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
2,125,125,125.0,125.0,nan
3,350,350,350.0,350.0,nan
4,529,529,522.0,522.0,nan
5,687,687,687.0,687.0,nan
6,844,844,837.0,837.0,nan
7,984,984,969.0,969.0,nan
8,1116,1116,1078.0,1078.0,nan
9,1226,1226,1184.0,1184.0,nan
10,1335,1335,1286.0,1286.0,nan
11,1437,1437,1381.0,1381.0,nan
12,1537,1537,1469.0,1469.0,nan
13,1639,1639,1540.0,1540.0,nan
14,1727,1727,1610.0,1600.0,nan
15,1798,1798,1670.0,1650.0,nan
16,1884,1884,1726.0,1678.0,nan
17,1955,1955,1776.0,nan,nan
18,2005,2005,1804.0,nan,nan
19,2050,2050,nan,nan,nan
20,2094,2094,nan,nan,nan
21,2114,2114,nan,nan,nan
22,1996,1996,nan,nan,nan
