difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
4,204,204,204.0,204.0,nan
5,391,391,391.0,391.0,nan
6,556,556,556.0,556.0,nan
7,698,698,689.0,689.0,nan
8,831,831,814.0,814.0,nan
9,956,956,932.0,932.0,nan
10,1066,1066,1038.0,1036.0,nan
11,1172,1172,1141.0,1139.0,nan
12,1275,1275,1236.0,1234.0,nan
13,1377,1377,1318.0,1316.0,nan
14,1472,1472,1389.0,1387.0,nan
15,1543,1543,1439.0,1415.0,nan
16,1609,1609,1439.0,1415.0,nan
17,1659,1659,nan,nan,nan
18,1709,1709,nan,nan,nan
19,1759,1759,nan,nan,nan
20,1759,1759,nan,nan,nan
