difficulty,ILP,ILP stdev,ILP GPU,ILP GPU stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
5,1344052.8492239467,1355029.2715712653,818868.8421052631,988068.07353875,8177.217777777778,3342.4826957848095,8622.384,3021.887094348158,7122.382857142858,1755.225169187044
6,1975862.0136465325,698204.1572188489,825754.3875968992,994499.4851875677,9276.970588235294,2928.864104494578,8973.235555555555,2321.745287115494,7146.705714285714,1774.627651884356
7,1515293.564236111,1235222.7193548752,805208.7639751553,972747.2994014136,9906.44,2711.633458712945,9150.205714285714,1903.5655988419796,7161.842857142857,1774.2446121425146
8,1512851.199826238,1229610.6783795876,821102.6257763975,989377.568514958,10193.420702179177,2465.865694809978,9163.797777777778,1701.0890469674184,7126.197142857143,1762.5371067622596
9,1537470.9475,1208550.345833388,821369.9596899225,991853.1784353639,10514.532032032032,2370.3212909347044,9164.657919400188,1596.9915302214486,7199.608571428572,1800.398925369245
10,1532265.4667774087,1204172.8624187133,829598.3307573416,995922.0520892492,10462.755813953489,2191.6755881987406,9163.097913322632,1480.6309297879193,7216.591428571429,1829.8538471506545
11,1559259.1032,1188892.051430333,834648.0648148148,1002917.6106292065,10687.290909090909,2118.270399555168,9140.594074074073,1419.9155514079578,7223.4857142857145,1817.5194795474927
12,1544603.1198003327,1228081.8609369886,814418.7301092044,986505.6492312273,11248.261327713382,2365.0122510986844,9072.363506771204,1401.5721874834735,7171.542857142857,1772.8853183514711
13,1562793.4141732284,1196535.8412719166,821365.1149068323,992513.1129162486,10949.867412682264,2099.1702256077615,9066.011627906977,1368.8258598650905,7173.5542857142855,1796.2170503274442
14,1576561.9455406473,1219722.6801206362,844340.6394453004,1013846.1369625345,10542.583824492469,1900.939755875251,9055.146666666667,1358.6020244339718,7152.465714285714,1781.8660778665421
15,1516680.6955403087,1222400.6264439453,822366.9299065421,995021.2946226855,10678.27847692804,1924.547748864965,9080.082,1357.0166938844147,7151.4971428571425,1785.6395798595156
16,1536658.621981682,1209978.2234781592,829423.3950233281,1001681.5067293366,10888.52697495183,2031.3032913454376,9043.546666666667,1355.4466455360089,7229.437142857143,1818.3417412617289
17,1556153.8917568694,1246795.5798780855,829465.7147286822,999426.4555401508,10828.70464,1993.5960970893618,9075.30585106383,1368.6261385752105,7198.04,1791.3710676798216
18,1657008.8713007572,1164558.0205712898,820172.0602782071,986005.7998081442,11055.306207783853,2065.8960807919007,9060.93741677763,1357.7812063100025,7200.697142857143,1806.3740215477171
19,1542318.653078203,1221113.4280686972,808034.8673946958,980297.9600330419,10683.119638826185,1934.2212675417893,9085.549633577615,1364.1490284061827,7163.088571428571,1787.5167502806148
20,1543835.6231281199,1218270.9012076273,823899.9026275116,990592.2755287205,11424.018643522983,2305.4331684492763,9069.170650730412,1365.948639034514,7168.728571428572,1791.0476542388258
