difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
2,28,28,28.0,28.0,nan
3,215,215,215.0,215.0,nan
4,380,380,380.0,380.0,nan
5,545,545,545.0,545.0,nan
6,703,703,699.0,699.0,nan
7,842,842,832.0,832.0,nan
8,975,975,964.0,957.0,nan
9,1100,1100,1089.0,1067.0,nan
10,1211,1211,1207.0,1169.0,nan
11,1325,1325,1325.0,1264.0,nan
12,1435,1435,1435.0,1346.0,nan
13,1530,1530,1530.0,1391.0,nan
14,1621,1621,1618.0,nan,nan
15,1716,1716,1676.0,nan,nan
16,1790,1790,1720.0,nan,nan
17,1861,1861,nan,nan,nan
18,1930,1930,nan,nan,nan
19,1980,1980,nan,nan,nan
20,2024,2024,nan,nan,nan
21,2026,2026,nan,nan,nan
