difficulty,ILP,ILP stdev,Hill Climbing v1,Hill Climbing v1 stdev,Hill Climbing v3,Hill Climbing v3 stdev,Offering Order,Offering Order stdev
1,1.0553969449998113,0.02272492132362931,0.007741456942167133,7.448444491472328e-05,0.005303853757795878,0.0018144071674189122,0.008226720900274813,0.000810585176627485
2,2.542292980400962,0.06336127280624934,0.018139354881714097,0.00012039396949632866,0.0072878645022865386,3.949345820651676e-05,0.014563890539575368,0.00014116617120572142
3,2.620623033719021,0.04706612678060097,0.03111036522022914,0.00020895827043024222,0.009033535441267304,5.926484327919364e-05,0.01990231939998921,0.0008899646961751771
4,2.612261895640404,0.02991763258861157,0.04352884524094407,0.0008163045951232996,0.010037152159493417,8.499755862901216e-05,0.022224657140905036,0.0002248470314699183
5,2.638815559060313,0.021942399345010043,0.058624801117694005,0.00048573782257038125,0.011148085978347808,7.388816027852242e-05,0.027579545919434168,0.000588653036622305
6,2.6542878886614925,0.02726227964532193,0.07671930805954616,0.0008486692734102947,0.01152758065785747,5.541230781858753e-05,0.02812156590167433,0.00038740777760115424
7,2.6879111106396887,0.03006375867501819,0.0894142820982961,0.0012398974658895925,0.011483756378875115,7.356635187568211e-05,0.022345206139725633,0.000673575088716921
8,2.73437282732164,0.039729655545498364,0.10228241666045505,0.01147217165526879,0.011751448058639653,0.00011988812687999867,0.022557685038191267,0.0009753473738839263
9,2.832677468880429,0.03644053920048032,0.10705473426147365,0.0009985640434432195,0.012151929520186969,0.0005483797805887981,0.023645336482441052,0.0007967611287520821
10,2.8514660845231266,0.0313282757390871,0.1137499036983354,0.0020803452878697167,0.011613945540739223,0.0002385512694183446,0.01573286380211357,0.0002030759992023666
11,5.1322567985981005,0.050302392541067116,0.11921605230076239,0.010144596268764114,0.011715436560916715,0.00027626162372963557,0.01625125302176457,0.0007714985846986826
12,4.813561031799764,0.03635578760099556,0.12002311909804121,0.0016550064137450325,0.011561444576364011,8.564243755452476e-05,0.06743941501772496,0.0037490355015993015
13,4.0651419610576704,0.042371981138031416,0.12110630690178369,0.0020708293983999794,0.011644396299379878,0.0007978883083577808,21.29206847111811,0.11359945603568017
