difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,nan,nan,nan,nan,nan
2,nan,nan,nan,nan,nan
3,185,185,185,185,nan
4,nan,357,357,357,nan
5,nan,522,522,522,nan
6,nan,655,655,655,nan
7,nan,788,780,780,nan
8,nan,914,890,889,nan
9,nan,1038,999,991,nan
10,nan,1148,1101,1087,nan
11,nan,1244,1197,1169,nan
12,nan,1338,1279,1239,nan
13,nan,1426,1349,1267,nan
14,nan,1497,1377,1267,nan
15,nan,1562,1377,nan,nan
16,nan,1626,nan,nan,nan
17,nan,1680,nan,nan,nan
18,nan,1716,nan,nan,nan
19,nan,1743,nan,nan,nan
20,nan,1743,nan,nan,nan
