difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,nan,nan,nan,nan,nan
2,nan,nan,nan,nan,nan
3,nan,nan,nan,nan,nan
4,21,21,21,21,nan
5,nan,208,208,208,nan
6,nan,373,373,373,nan
7,nan,538,538,538,nan
8,nan,696,692,692,nan
9,nan,835,825,825,nan
10,nan,968,957,950,nan
11,nan,1093,1082,1060,nan
12,nan,1204,1200,1162,nan
13,1318,1318,1318,1257,nan
14,1428,1428,1428,nan,nan
15,1523,1523,1523,nan,nan
16,1614,1614,1611,nan,nan
17,1709,1709,nan,nan,nan
18,1778,1778,nan,nan,nan
19,1841,1841,nan,nan,nan
20,1891,1891,nan,nan,nan
21,1900,1900,nan,nan,nan
