difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
3,169,169,169,169,nan
4,341,341,341,341,nan
5,506,506,506,506,nan
6,655,655,639,639,nan
7,795,795,764,764,nan
8,926,926,874,882,nan
9,1043,1043,983,991,nan
10,1153,1153,1085,1087,nan
11,1257,1257,1181,1182,nan
12,1359,1359,1263,1264,nan
13,1453,1453,1333,1334,nan
14,1524,1524,1361,1362,nan
15,1581,1581,1361,1362,nan
16,1633,1633,1361,1362,nan
17,1683,1683,1361,1362,nan
18,1719,1719,1361,1362,nan
19,1719,1719,1361,1362,nan
20,1706,1706,1361,1362,nan
