difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,nan,nan,nan,nan,nan
2,nan,nan,nan,nan,nan
3,nan,nan,nan,nan,nan
4,nan,nan,nan,nan,nan
5,50,50,50,50,nan
6,237,237,237,237,nan
7,402,402,402,402,nan
8,544,544,535,535,nan
9,677,677,668,668,nan
10,808,808,786,786,nan
11,933,933,904,904,nan
12,1051,1051,1013,1021,nan
13,1169,1169,1116,1124,nan
14,1272,1272,1204,1219,nan
15,1374,1374,1275,1307,nan
16,1468,1468,1345,1378,nan
17,1551,1551,1401,nan,nan
18,1622,1622,nan,nan,nan
19,1692,1692,nan,nan,nan
20,1742,1742,nan,nan,nan
21,1749,1749,nan,nan,nan
