difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,217,217,217.0,217.0,217.0
2,404,404,404.0,404.0,404.0
3,558,558,558.0,558.0,536.0
4,691,691,691.0,691.0,690.0
5,823,823,823.0,823.0,800.0
6,948,948,948.0,948.0,933.0
7,1066,1066,1066.0,1058.0,1058.0
8,1176,1176,1176.0,1160.0,1160.0
9,1278,1278,1278.0,1248.0,1278.0
10,1366,1366,1366.0,1306.0,1366.0
11,1459,1459,1424.0,1350.0,1424.0
12,1547,1547,1468.0,1378.0,1468.0
13,1629,1629,1496.0,nan,1496.0
14,1679,1679,nan,nan,1529.0
15,1731,1731,nan,nan,nan
16,1781,1781,nan,nan,nan
17,1796,1796,nan,nan,nan
18,1801,1801,nan,nan,nan
