difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
3,169,169,169.0,169.0,nan
4,341,341,341.0,341.0,nan
5,506,506,506.0,506.0,nan
6,655,655,639.0,639.0,nan
7,795,795,764.0,764.0,nan
8,926,926,874.0,882.0,nan
9,1043,1043,983.0,991.0,nan
10,1153,1153,1085.0,1087.0,nan
11,1257,1257,1181.0,1182.0,nan
12,1359,1359,1263.0,1264.0,nan
13,1453,1453,1333.0,1334.0,nan
14,1524,1524,1361.0,1362.0,nan
15,1581,1581,1361.0,1362.0,nan
16,1633,1633,nan,nan,nan
17,1683,1683,nan,nan,nan
18,1719,1719,nan,nan,nan
19,1719,1719,nan,nan,nan
20,1706,1706,nan,nan,nan
